group1,group2,u_statistic,p_value,p_bonferroni,significant_uncorrected,significant_bonferroni,effect_size_r,effect_interpretation,median_group1,median_group2,mean_rank_group1,mean_rank_group2,n_group1,n_group2,winner,metric
T1,T2,174945.5,0.004506224134452264,0.09463070682349754,True,False,0.07803045864080317,Negligible,19.991165667639528,19.997206051885748,242.5,399.0,484,797,T2,tps
T1,T3,433100.5,0.0022844594929418696,0.04797364935177926,True,True,0.06530222915838237,Negligible,19.991165667639528,19.982585357204776,242.5,821.5,484,1642,T1,tps
T1,T4,40188.5,1.5555736660019411e-18,3.266704698604076e-17,True,True,0.3593531518642724,Medium,19.991165667639528,19.89118603407141,242.5,54.5,484,108,T1,tps
T1,T5,789939.0,1.3204203926951317e-34,2.7728828246597766e-33,True,True,0.2267074275245992,Small,19.991165667639528,19.875570515658026,242.5,1208.5,484,2416,T1,tps
T1,T6,112398.5,0.00018102866217522168,0.0038016019056796553,True,True,0.12414238193241124,Small,19.991165667639528,19.963017981301178,242.5,203.5,484,406,T1,tps
T1,T7,76601.0,4.4657071219334116e-12,9.377984956060165e-11,True,True,0.255549208469619,Small,19.991165667639528,19.924759477743034,242.5,121.0,484,241,T1,tps
T2,T3,757668.5,1.156568818628373e-10,2.4287945191195834e-09,True,True,0.12826459861423942,Small,19.997206051885748,19.982585357204776,399.0,821.5,797,1642,T2,tps
T2,T4,67354.5,3.1366186810234745e-22,6.586899230149297e-21,True,True,0.317075189719889,Medium,19.997206051885748,19.89118603407141,399.0,54.5,797,108,T2,tps
T2,T5,1342093.0,1.5726368582483965e-63,3.3025374023216326e-62,True,True,0.2946707343778042,Small,19.997206051885748,19.875570515658026,399.0,1208.5,797,2416,T2,tps
T2,T6,194261.5,6.068849559045368e-09,1.2744584073995273e-07,True,True,0.16430143804586128,Small,19.997206051885748,19.963017981301178,399.0,203.5,797,406,T2,tps
T2,T7,131167.0,2.1003121545780615e-18,4.410655524613929e-17,True,True,0.2673659491673668,Small,19.997206051885748,19.924759477743034,399.0,121.0,797,241,T2,tps
T3,T4,117414.5,1.0668423808843659e-08,2.2403689998571682e-07,True,True,0.13508746335902047,Small,19.982585357204776,19.89118603407141,821.5,54.5,1642,108,T3,tps
T3,T5,2468348.0,1.4426268994905587e-40,3.0295164889301736e-39,True,True,0.20776069792558557,Small,19.982585357204776,19.875570515658026,821.5,1208.5,1642,2416,T3,tps
T3,T6,347658.5,0.17290959287046792,1.0,False,False,0.029684314549496046,Negligible,19.982585357204776,19.963017981301178,821.5,203.5,1642,406,T3,tps
T3,T7,232639.0,7.967519178538806e-06,0.00016731790274931491,True,True,0.10167976159003533,Small,19.982585357204776,19.924759477743034,821.5,121.0,1642,241,T3,tps
T4,T5,132751.0,0.7567271728823088,1.0,False,False,0.006143573782641277,Negligible,19.89118603407141,19.875570515658026,54.5,1208.5,108,2416,T4,tps
T4,T6,16252.5,3.136244248412882e-05,0.0006586112921667052,True,True,0.18235954120243306,Small,19.89118603407141,19.963017981301178,54.5,203.5,108,406,T6,tps
T4,T7,11111.0,0.02886613814174139,0.6061889009765692,True,False,0.11691285784179571,Small,19.89118603407141,19.924759477743034,54.5,121.0,108,241,T7,tps
T5,T6,393482.0,1.3850997735577074e-10,2.9087095244711857e-09,True,True,0.1201613165733769,Small,19.875570515658026,19.963017981301178,1208.5,203.5,2416,406,T6,tps
T5,T7,261604.0,0.009039312577802869,0.18982556413386026,True,False,0.05043541142368254,Negligible,19.875570515658026,19.924759477743034,1208.5,121.0,2416,241,T7,tps
T6,T7,54823.0,0.00967311136166456,0.20313533859495575,True,False,0.100909360365902,Small,19.963017981301178,19.924759477743034,203.5,121.0,406,241,T6,tps
T1,T2,240452.0,1.250352187978461e-13,2.625739594754768e-12,True,True,0.2070743877743332,Small,18.297358483907395,15.617727120742622,242.5,399.0,484,797,T1,cpu_usage
T1,T3,480486.0,2.4976496544852105e-12,5.245064274418942e-11,True,True,0.15189097679132144,Small,18.297358483907395,16.406322790428582,242.5,821.5,484,1642,T1,cpu_usage
T1,T4,12342.0,9.300263039558713e-18,1.9530552383073297e-16,True,True,0.3527427416342838,Medium,18.297358483907395,21.2844824681422,242.5,54.5,484,108,T4,cpu_usage
T1,T5,448605.0,5.832624493456696e-16,1.2248511436259062e-14,True,True,0.15027938997008597,Small,18.297358483907395,19.683616320490465,242.5,1208.5,484,2416,T5,cpu_usage
T1,T6,75163.0,1.4985580994284195e-09,3.146972008799681e-08,True,True,0.20261714603876885,Small,18.297358483907395,19.361316991420463,242.5,203.5,484,406,T6,cpu_usage
T1,T7,25680.0,1.0581089227331814e-34,2.2220287377396808e-33,True,True,0.45635085414220156,Medium,18.297358483907395,22.38067749095435,242.5,121.0,484,241,T7,cpu_usage
T2,T3,622711.0,0.05253420051326812,1.0,False,False,0.039257111294948153,Negligible,15.617727120742622,16.406322790428582,399.0,821.5,797,1642,T3,cpu_usage
T2,T4,14904.0,2.5636248628942266e-28,5.3836122120778756e-27,True,True,0.36685351047968906,Medium,15.617727120742622,21.2844824681422,399.0,54.5,797,108,T4,cpu_usage
T2,T5,521073.0,2.9135143919515536e-84,6.118380223098263e-83,True,True,0.34313502265092066,Medium,15.617727120742622,19.683616320490465,399.0,1208.5,797,2416,T5,cpu_usage
T2,T6,89595.0,8.611289368903272e-37,1.808370767469687e-35,True,True,0.3653133342929429,Medium,15.617727120742622,19.361316991420463,399.0,203.5,797,406,T6,cpu_usage
T2,T7,37054.0,2.054517587424973e-47,4.314486933592443e-46,True,True,0.44893595879876863,Medium,15.617727120742622,22.38067749095435,399.0,121.0,797,241,T7,cpu_usage
T3,T4,28188.0,1.344851546600523e-32,2.8241882478610987e-31,True,True,0.2842116356409844,Small,16.406322790428582,21.2844824681422,821.5,54.5,1642,108,T4,cpu_usage
T3,T5,1147515.0,2.742482161451189e-115,5.759212539047497e-114,True,True,0.35826734165087903,Medium,16.406322790428582,19.683616320490465,821.5,1208.5,1642,2416,T5,cpu_usage
T3,T6,193225.0,2.1770864306455542e-39,4.5718815043556637e-38,True,True,0.29016585750559537,Small,16.406322790428582,19.361316991420463,821.5,203.5,1642,406,T6,cpu_usage
T3,T7,65568.0,3.206444124998956e-63,6.733532662497808e-62,True,True,0.3867824688029946,Medium,16.406322790428582,22.38067749095435,821.5,121.0,1642,241,T7,cpu_usage
T4,T5,169688.0,1.1997311269269539e-07,2.519435366546603e-06,True,True,0.10536752866214318,Small,21.2844824681422,19.683616320490465,54.5,1208.5,108,2416,T4,cpu_usage
T4,T6,28394.0,2.4041054213576318e-06,5.048621384851027e-05,True,True,0.2080342469504967,Small,21.2844824681422,19.361316991420463,54.5,203.5,108,406,T4,cpu_usage
T4,T7,10490.0,0.0037762361001674274,0.07930095810351598,True,False,0.15506466273919725,Small,21.2844824681422,22.38067749095435,54.5,121.0,108,241,T7,cpu_usage
T5,T6,485745.0,0.7568914211534085,1.0,False,False,0.00582800849622127,Negligible,19.683616320490465,19.361316991420463,1208.5,203.5,2416,406,T5,cpu_usage
T5,T7,176063.0,3.981949222688246e-24,8.362093367645317e-23,True,True,0.19656383333782787,Small,19.683616320490465,22.38067749095435,1208.5,121.0,2416,241,T7,cpu_usage
T6,T7,30922.0,4.840791927034782e-15,1.0165663046773043e-13,True,True,0.3078761688045088,Medium,19.361316991420463,22.38067749095435,203.5,121.0,406,241,T7,cpu_usage
T1,T2,209524.0,0.009498764977193421,0.19947406452106184,True,False,0.07246602539918971,Negligible,1787.5,1780.0,242.5,399.0,484,797,T1,ram_usage
T1,T3,19702.5,3.426701143888764e-222,7.196072402166404e-221,True,True,0.690110610084883,Large,1787.5,4751.0,242.5,821.5,484,1642,T3,ram_usage
T1,T4,62.0,3.471533800180246e-59,7.290220980378517e-58,True,True,0.6667691927919616,Large,1787.5,2850.5,242.5,54.5,484,108,T4,ram_usage
T1,T5,4925.0,1.5289842720555423e-260,3.210866971316639e-259,True,True,0.6403023914467684,Large,1787.5,5939.0,242.5,1208.5,484,2416,T5,ram_usage
T1,T6,22.5,7.70843259628248e-146,1.6187708452193207e-144,True,True,0.8620113884020634,Large,1787.5,5381.0,242.5,203.5,484,406,T6,ram_usage
T1,T7,0.0,7.869528114583907e-107,1.6526009040626204e-105,True,True,0.8153696009828283,Large,1787.5,6207.0,242.5,121.0,484,241,T7,ram_usage
T2,T3,58151.5,1.9334990662871007e-292,4.060348039202911e-291,True,True,0.740040489658329,Large,1780.0,4751.0,399.0,821.5,797,1642,T3,ram_usage
T2,T4,14238.5,1.3576420923803367e-29,2.851048393998707e-28,True,True,0.3755313028740956,Medium,1780.0,2850.5,399.0,54.5,797,108,T4,ram_usage
T2,T5,24290.5,0.0,0.0,True,True,0.7290583113541464,Large,1780.0,5939.0,399.0,1208.5,797,2416,T5,ram_usage
T2,T6,2848.0,3.0727999392948603e-171,6.452879872519207e-170,True,True,0.804255045882365,Large,1780.0,5381.0,399.0,203.5,797,406,T6,ram_usage
T2,T7,548.5,2.9798392650889952e-121,6.25766245668689e-120,True,True,0.7267823700411874,Large,1780.0,6207.0,399.0,121.0,797,241,T7,ram_usage
T3,T4,165017.5,6.408104059624598e-51,1.3457018525211656e-49,True,True,0.35878664476473776,Medium,4751.0,2850.5,821.5,54.5,1642,108,T3,ram_usage
T3,T5,1201557.0,4.140185149384993e-101,8.694388813708486e-100,True,True,0.33510825392760796,Medium,4751.0,5939.0,821.5,1208.5,1642,2416,T5,ram_usage
T3,T6,244772.5,1.0418982843453856e-16,2.1879863971253097e-15,True,True,0.18340484552302797,Small,4751.0,5381.0,821.5,203.5,1642,406,T6,ram_usage
T3,T7,84604.0,8.131222199054356e-47,1.7075566618014147e-45,True,True,0.33112728616949316,Medium,4751.0,6207.0,821.5,121.0,1642,241,T7,ram_usage
T4,T5,5128.5,3.488159152646293e-64,7.325134220557215e-63,True,True,0.33668906507837154,Medium,2850.5,5939.0,54.5,1208.5,108,2416,T5,ram_usage
T4,T6,359.0,1.1036291273952334e-55,2.3176211675299903e-54,True,True,0.6933939003844607,Large,2850.5,5381.0,54.5,203.5,108,406,T6,ram_usage
T4,T7,0.0,1.924951267003337e-50,4.042397660707008e-49,True,True,0.7995291287194585,Large,2850.5,6207.0,54.5,121.0,108,241,T7,ram_usage
T5,T6,604101.0,7.334363709161961e-14,1.5402163789240117e-12,True,True,0.14084002756135147,Small,5939.0,5381.0,1208.5,203.5,2416,406,T5,ram_usage
T5,T7,267699.0,0.03911196981491393,0.8213513661131926,True,False,0.04002341329919585,Negligible,5939.0,6207.0,1208.5,121.0,2416,241,T7,ram_usage
T6,T7,26504.0,1.790880873477762e-22,3.7608498343033e-21,True,True,0.38343846610900967,Medium,5381.0,6207.0,203.5,121.0,406,241,T7,ram_usage
